title,url,upload_date,view_count,channel_id,channel_name
New Gemini 3 Antigravity - My New IDE,https://www.youtube.com/watch?v=ZVpBfSz_8bE,2025-11-22,335,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
New GPT-5.1: 80% Token Reduction?,https://www.youtube.com/watch?v=OOEeoGa7jEg,2025-11-17,8471,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Starting AI Engineering Today? This Is What I'd Do,https://www.youtube.com/watch?v=Oneu1jg7E8w,2025-11-14,2657,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
I Deployed Code from My Couch — Here’s How It Works,https://www.youtube.com/watch?v=ey8JIRcVZbg,2025-11-11,2520,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
I Used Both Claude Code and Codex for Weeks — Here’s What Surprised Me,https://www.youtube.com/watch?v=97FYys-kj58,2025-11-09,14903,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Claude Code’s Hidden Subagents: Plan + Explore → Team Mode,https://www.youtube.com/watch?v=FUAqVZAKFf4,2025-11-06,17452,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
AI Tools Are Outpacing How We Build Software,https://www.youtube.com/watch?v=kWrIt1dGAU4,2025-11-04,6211,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
AI Ghost Stories: Is It True?,https://www.youtube.com/watch?v=0hKeXy_oWsk,2025-10-31,500,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
The Real Reason AI Is Going Back to the Terminal,https://www.youtube.com/watch?v=RvQII_5Puzw,2025-10-30,20081,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
The New Engineering Mindset for the AI Era,https://www.youtube.com/watch?v=v3lrUEkDB3E,2025-10-28,6515,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
ChatGPT Is Now a Browser?! Full Tour of OpenAI Atlas,https://www.youtube.com/watch?v=9HhSaY9ToTw,2025-10-23,2643,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Claude Code Web Is the Future of AI Development,https://www.youtube.com/watch?v=LDScpaOP2mA,2025-10-22,21594,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
"Claude Skills Review — Early, But Promising",https://www.youtube.com/watch?v=FdV2bDSkFu0,2025-10-20,21380,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
I Taught an AI Workshop About Nothing—and It Worked,https://www.youtube.com/watch?v=Uk9S11HPgmY,2025-10-18,2445,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
ChatGPT’s App Store Moment Has Arrived,https://www.youtube.com/watch?v=HgXdOeSfsfk,2025-10-12,5712,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
"Claude 4.5, One Week Later: A Glimpse of What’s Coming",https://www.youtube.com/watch?v=J5-lU1RrEJo,2025-10-06,10900,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Merge Hell Is Real: Codex + GitHub Story,https://www.youtube.com/watch?v=6v_6tP61wY4,2025-09-28,3799,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
The Message Every Engineer Needs to Hear,https://www.youtube.com/watch?v=XKCBcScElBg,2025-09-22,22579,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Why Codex Is the Beginning of New Engineering,https://www.youtube.com/watch?v=bxrmweabEsI,2025-09-19,42432,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
OpenAI’s New GPT-5 Codex Model — First Impressions,https://www.youtube.com/watch?v=Jm7o5oJIJUQ,2025-09-16,22094,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
25 AI Tools That Cut Through the Noise,https://www.youtube.com/watch?v=e1i6qh8_EEk,2025-09-14,2299,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
AI Just Wrote My Code While I Slept (Here's How!),https://www.youtube.com/watch?v=BkJspRRXkfM,2025-09-11,8446,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Gemini CLI Is FREE — And It’s Shockingly Good,https://www.youtube.com/watch?v=EPReHLqmQPs,2025-09-07,57390,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
"Context Engineering, Clearly Explained",https://www.youtube.com/watch?v=p6s82Ax8yrs,2025-09-03,11379,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Huge Codex Update: All My Complaints Addressed,https://www.youtube.com/watch?v=cvzS6fiOAFw,2025-08-31,24370,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Is Nano Banana Google’s Best Image Model Yet?,https://www.youtube.com/watch?v=nLYFHTvBMK0,2025-08-29,1988,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Stop Letting AI Wing It -- Take Control of AI Coding,https://www.youtube.com/watch?v=dBWnH0YA6tg,2025-08-24,10383,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Claude Code vs Codex CLI: Daily Use Showdown,https://www.youtube.com/watch?v=KZwcKQe34n8,2025-08-22,20031,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Building With AI PRDs Is a Game Changer,https://www.youtube.com/watch?v=j0yyNQ5eTSk,2025-08-19,9769,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Can GPT-5 Keep Up with Claude Code? My Full Test,https://www.youtube.com/watch?v=tI1zx35brtk,2025-08-17,8836,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
GPT-5 vs. Sonnet in Cursor — Who Coded It Better?,https://www.youtube.com/watch?v=4TdUtbbUMYA,2025-08-15,5443,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
7 Big Changes in GPT-5 (With Live Demos),https://www.youtube.com/watch?v=8fsA-pEVnhU,2025-08-10,11311,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
GPT-OSS is HERE: OpenAI Just Went Open Source!,https://www.youtube.com/watch?v=MJt_pLcr0-U,2025-08-06,1659,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Inside Google's New No-Code Experiment: Opal,https://www.youtube.com/watch?v=sGwQUyWjJIQ,2025-08-02,2575,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Build & Deploy a Real App in One Video - No Prior Experience Needed,https://www.youtube.com/watch?v=_p3OSf89gMc,2025-07-30,4917,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Claude Code After 1 Month: The Patterns That Actually Stuck,https://www.youtube.com/watch?v=IUi--nVU4yA,2025-07-29,40531,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Claude Code Agents: The Feature That Changes Everything,https://www.youtube.com/watch?v=6MLyc3jYisQ,2025-07-26,46604,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
ChatGPT Agent Just Went Public—Here's My Honest Reaction,https://www.youtube.com/watch?v=GiNRxKPjcus,2025-07-24,1938,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
I Built an AI Tool to Hunt My Hidden Subscriptions,https://www.youtube.com/watch?v=UKL34oSzO4s,2025-07-21,1052,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
I Challenged Claude Code to Build My Apple Watch App,https://www.youtube.com/watch?v=Dw4U1W3cfJg,2025-07-16,10434,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Claude Code Meets MCP: Building an AI-powered movie app,https://www.youtube.com/watch?v=8Yc62ADKByM,2025-07-13,5324,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
I Tested Claude Code: $20 vs. $200 Subscription,https://www.youtube.com/watch?v=CSt23RTkmbQ,2025-07-11,51009,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
I Went Deep on Claude Code—These Are My Top 13 Tricks,https://www.youtube.com/watch?v=T_IYHx-9VGU,2025-07-07,72136,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
I Made Two AIs Code My App—Here’s the Shocking Winner,https://www.youtube.com/watch?v=0DxbYVrM1m8,2025-07-02,16822,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
What I Learned After a Month with $250 Google AI Ultra,https://www.youtube.com/watch?v=Dyvm0tXlYh8,2025-06-30,6338,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
Can Google’s Project Mariner Really Run Your Browser?,https://www.youtube.com/watch?v=0EGlRANwAUA,2025-06-27,3434,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
As a Cursor user I often reach for Claude Code!,https://www.youtube.com/watch?v=-0kwdOLXXq8,2025-06-26,5078,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
New Mid-Journey Video!! - WOW 🚀,https://www.youtube.com/watch?v=LTnGZexZitc,2025-06-23,489,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
ChatGPT Hidden Upgrade: New Sidebar & CustomGPT Model Selector!,https://www.youtube.com/watch?v=W1uDEo7Eno0,2025-06-21,850,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
AI Just Rewrote the Rules of Coding,https://www.youtube.com/watch?v=Tvcx9vU8q5I,2025-06-20,767,UC6-EGajbNF0DPD9AJ8oQC1A,Matt Maher
